PROVINCE,LOCATION,YEAR,SITE_NAME,SITE_TYPE,LONGITUDE,LATITUDE,VARIABLE,VALUE,UNIT,COLOR
Northwest Territories,arctic,2004,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,9.8,°C,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Oxygen,9.71,mg/L,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.28,PH,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,6.835,PH,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,7.07,mg/L,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,6.6499999999999995,°C,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.336666666666666,PH,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.3,PH,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
